Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/19 (Saturday) 13:36:32,599,59,8,LED ON,255,0,35,35533,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:33,599,59,8,LED ON,255,0,36,36196,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:34,599,59,8,LED ON,255,0,36,36860,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:34,599,59,8,LED ON,255,0,37,37523,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:35,599,59,8,LED ON,255,0,38,38184,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:36,599,59,8,LED ON,255,0,38,38848,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:36,599,59,8,LED ON,255,0,39,39510,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:37,599,59,8,LED ON,255,0,40,40173,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:38,599,59,8,LED ON,255,0,40,40836,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:38,599,59,8,LED ON,255,0,41,41504,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:39,599,59,8,LED ON,255,0,42,42167,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:40,599,59,8,LED ON,255,0,42,42831,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:40,599,59,8,LED ON,255,0,43,43534,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:41,599,59,8,LED ON,255,0,44,44195,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:42,599,59,8,LED ON,255,0,44,44856,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:42,599,59,8,LED ON,255,0,45,45523,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:43,599,59,8,LED ON,255,0,46,46185,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:44,599,59,8,LED ON,255,0,46,46848,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:44,599,59,8,LED ON,255,0,47,47511,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:45,599,59,8,LED ON,255,0,48,48172,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:46,599,59,8,LED ON,255,0,48,48833,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:46,599,59,8,LED ON,255,0,49,49496,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:47,599,59,8,LED ON,255,0,50,50157,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:48,599,59,8,LED ON,255,0,50,50822,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:48,599,59,8,LED ON,255,0,51,51485,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:49,599,59,8,LED ON,255,0,52,52149,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:50,599,59,8,LED ON,255,0,52,52811,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:50,599,59,8,LED ON,255,0,53,53473,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:51,599,59,8,LED ON,255,0,54,54139,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:52,599,59,8,LED ON,255,0,54,54799,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:52,599,59,8,LED ON,255,0,55,55461,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:53,599,59,8,LED ON,255,0,56,56126,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:54,599,59,8,LED ON,255,0,56,56788,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:54,599,59,8,LED ON,255,0,57,57448,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:55,599,59,8,LED ON,255,0,58,58112,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:56,599,59,8,LED ON,255,0,58,58775,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:56,599,59,8,LED ON,255,0,59,59443,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:57,599,59,8,LED ON,255,0,60,60106,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:58,599,59,8,LED ON,255,0,60,60767,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:58,599,59,8,LED ON,255,0,61,61467,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:59,599,59,8,LED ON,255,0,62,62129,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/19 (Saturday) 13:37:37,599,59,8,LED ON,255,0.25 ,0,963,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
